"y","x"
428,502
430,503
438,504
443,505
448,505
453,505
455,505
463,505
466,505
474,505
479,507
485,508
488,508
498,509
505,510
509,511
515,512
526,515
529,517
536,520
542,523
549,526
552,528
561,533
564,535
570,538
576,541
584,546
589,549
594,553
599,557
602,560
608,566
618,576
621,581
629,587
635,592
640,597
646,604
648,605
652,609
657,614
661,617
663,621
665,624
666,626
668,631
669,633
672,639
673,642
675,646
677,656
678,658
678,662
679,670
679,673
680,683
680,688
680,693
681,700
681,702
682,707
682,711
682,716
683,722
683,729
683,736
683,743
683,751
683,754
683,763
683,769
683,772
683,777
683,783
683,790
683,802
682,806
681,814
678,829
676,836
675,839
672,847
670,852
668,859
665,864
662,872
658,880
655,886
653,890
650,896
646,903
640,912
638,914
633,920
630,921
626,925
624,927
617,933
614,936
607,945
605,946
601,949
597,951
591,953
586,957
580,961
575,964
569,968
564,972
558,976
554,978
549,980
547,982
540,985
534,987
532,989
524,994
521,995
514,998
511,999
504,1001
502,1002
497,1003
491,1004
486,1005
482,1006
476,1007
470,1009
464,1010
459,1010
454,1011
451,1011
444,1012
438,1012
435,1012
427,1013
424,1013
414,1013
411,1013
404,1013
397,1013
387,1013
383,1013
377,1013
370,1012
363,1011
356,1010
350,1010
343,1009
336,1009
329,1007
323,1005
317,1002
310,1000
303,997
296,994
293,992
287,990
280,985
275,983
273,982
269,979
264,976
260,974
256,971
252,968
248,965
243,962
240,959
235,955
231,950
228,945
224,939
223,937
219,932
213,924
211,921
205,913
204,910
199,903
198,900
192,890
190,887
186,877
185,874
182,868
181,862
178,855
176,850
173,842
172,836
170,829
169,824
168,814
168,810
166,800
165,792
165,785
165,782
165,775
165,764
165,761
165,750
165,747
165,738
166,727
167,709
167,703
168,695
169,685
171,676
172,667
175,657
177,647
179,637
182,629
184,621
186,618
190,612
192,609
195,607
199,605
201,604
207,597
209,595
217,586
220,583
225,579
231,576
238,570
243,565
249,561
256,557
260,554
265,553
269,551
274,548
278,545
283,542
290,539
292,538
297,535
306,530
310,528
316,525
325,520
328,519
337,515
341,514
346,511
353,509
359,506
365,504
372,503
377,502
383,501
389,499
392,499
401,498
405,498
414,497
420,497
426,498
429,498
435,499
441,499
449,500
451,501
460,502
465,504
470,504
477,505
484,507
492,509
499,510
507,513
514,516
522,519
531,523
539,526
543,528
556,532
564,536
572,539
575,541
586,547
590,549
600,556
603,558
610,562
617,565
623,570
628,573
633,577
638,580
643,585
646,589
649,592
651,597
654,601
656,606
658,609
659,612
661,616
661,618
663,626
663,629
664,635
666,646
667,649
668,659
669,662
669,671
670,674
672,681
673,688
673,695
674,702
675,709
676,716
677,722
678,728
679,733
679,738
680,742
680,747
680,753
680,759
680,762
680,770
679,780
676,792
674,797
672,804
668,814
665,826
662,836
659,846
655,855
653,862
650,866
648,871
645,876
643,881
641,885
638,891
635,894
633,898
630,900
627,905
624,909
622,911
620,913
616,919
614,921
611,925
608,928
605,932
601,937
598,941
594,946
590,950
586,955
582,961
578,965
573,969
570,973
567,974
559,983
556,986
549,993
547,995
543,997
538,1000
534,1003
532,1005
528,1008
522,1011
521,1012
517,1013
